,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션,카카오톡 KakaoTalk,커뮤니케이션
1,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,위버스 - Weverse,소셜,위피 - 동네 친구가 필요할 때,소셜,V LIVE,엔터테인먼트,왓챠플레이,엔터테인먼트,왓챠플레이,엔터테인먼트
2,위피 - 동네 친구가 필요할 때,소셜,위피 - 동네 친구가 필요할 때,소셜,왓챠플레이,엔터테인먼트,위피 - 동네 친구가 필요할 때,소셜,위피 - 동네 친구가 필요할 때,소셜,위피 - 동네 친구가 필요할 때,소셜
3,왓챠플레이,엔터테인먼트,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,왓챠플레이,엔터테인먼트,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,하쿠나 라이브 -  Live 방송,엔터테인먼트
4,정오의 데이트,소셜,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,정오의 데이트,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,Google One,생산성,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션
5,Google One,생산성,정오의 데이트,소셜,Google One,생산성,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,정오의 데이트,소셜,심쿵 소개팅 - 동네 이성친구 사귀기,소셜
6,ROBLOX,어드벤처,Google One,생산성,"아자르 Azar -라이브로 친구찾기, 영상메신저",커뮤니케이션,정오의 데이트,소셜,하쿠나 라이브 -  Live 방송,엔터테인먼트,Google One,생산성
7,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,Google One,생산성,심쿵 소개팅 - 동네 이성친구 사귀기,소셜,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트
8,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,하쿠나 라이브 -  Live 방송,엔터테인먼트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,정오의 데이트,소셜
9,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",엔터테인먼트,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소셜,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,데이트,하쿠나 라이브 -  Live 방송,엔터테인먼트,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜,V LIVE,엔터테인먼트
