date,time,province,confirmed,released,deceased
2020-01-20,16,서울,0,0,0
2020-01-20,16,부산,0,0,0
2020-01-20,16,대구,0,0,0
2020-01-20,16,인천,1,0,0
2020-01-20,16,광주,0,0,0
2020-01-20,16,대전,0,0,0
2020-01-20,16,울산,0,0,0
2020-01-20,16,세종,0,0,0
2020-01-20,16,경기도,0,0,0
2020-01-20,16,강원도,0,0,0
2020-01-20,16,충청북도,0,0,0
2020-01-20,16,충청남도,0,0,0
2020-01-20,16,전라북도,0,0,0
2020-01-20,16,전라남도,0,0,0
2020-01-20,16,경상북도,0,0,0
2020-01-20,16,경상남도,0,0,0
2020-01-20,16,제주도,0,0,0
2020-01-21,16,서울,0,0,0
2020-01-21,16,부산,0,0,0
2020-01-21,16,대구,0,0,0
2020-01-21,16,인천,1,0,0
2020-01-21,16,광주,0,0,0
2020-01-21,16,대전,0,0,0
2020-01-21,16,울산,0,0,0
2020-01-21,16,세종,0,0,0
2020-01-21,16,경기도,0,0,0
2020-01-21,16,강원도,0,0,0
2020-01-21,16,충청북도,0,0,0
2020-01-21,16,충청남도,0,0,0
2020-01-21,16,전라북도,0,0,0
2020-01-21,16,전라남도,0,0,0
2020-01-21,16,경상북도,0,0,0
2020-01-21,16,경상남도,0,0,0
2020-01-21,16,제주도,0,0,0
2020-01-22,16,서울,0,0,0
2020-01-22,16,부산,0,0,0
2020-01-22,16,대구,0,0,0
2020-01-22,16,인천,1,0,0
2020-01-22,16,광주,0,0,0
2020-01-22,16,대전,0,0,0
2020-01-22,16,울산,0,0,0
2020-01-22,16,세종,0,0,0
2020-01-22,16,경기도,0,0,0
2020-01-22,16,강원도,0,0,0
2020-01-22,16,충청북도,0,0,0
2020-01-22,16,충청남도,0,0,0
2020-01-22,16,전라북도,0,0,0
2020-01-22,16,전라남도,0,0,0
2020-01-22,16,경상북도,0,0,0
2020-01-22,16,경상남도,0,0,0
2020-01-22,16,제주도,0,0,0
2020-01-23,16,서울,0,0,0
2020-01-23,16,부산,0,0,0
2020-01-23,16,대구,0,0,0
2020-01-23,16,인천,1,0,0
2020-01-23,16,광주,0,0,0
2020-01-23,16,대전,0,0,0
2020-01-23,16,울산,0,0,0
2020-01-23,16,세종,0,0,0
2020-01-23,16,경기도,0,0,0
2020-01-23,16,강원도,0,0,0
2020-01-23,16,충청북도,0,0,0
2020-01-23,16,충청남도,0,0,0
2020-01-23,16,전라북도,0,0,0
2020-01-23,16,전라남도,0,0,0
2020-01-23,16,경상북도,0,0,0
2020-01-23,16,경상남도,0,0,0
2020-01-23,16,제주도,0,0,0
2020-01-24,16,서울,0,0,0
2020-01-24,16,부산,0,0,0
2020-01-24,16,대구,0,0,0
2020-01-24,16,인천,1,0,0
2020-01-24,16,광주,0,0,0
2020-01-24,16,대전,0,0,0
2020-01-24,16,울산,0,0,0
